NAME,R ▼
Swords to Plowshares,U,
Path to Exile,U,
Smothering Tithe,M,
Generous Gift,U,
Esper Sentinel,R,
Teferi's Protection,R,
Enlightened Tutor,R,
Sun Titan,M,
Austere Command,R,
Farewell,R,
Counterspell,C,
Cyclonic Rift,M,
Rhystic Study,R,
Brainstorm,C,
Negate,C,
Arcane Denial,C,
Mystic Remora,R,
Fierce Guardianship,R,
Swan Song,R,
An Offer You Can't Refuse,U,
Demonic Tutor,M,
Dark Ritual,C,
Vampiric Tutor,M,
Feed the Swarm,C,
Toxic Deluge,R,
Phyrexian Arena,R,
Reanimate,R,
Blood Artist,U,
Victimize,U,
Zulaport Cutthroat,U,
Blasphemous Act,R,
Chaos Warp,R,
Jeska's Will,R,
Faithless Looting,C,
Vandalblast,U,
Dockside Extortionist,M,
Deflecting Swat,R,
Thrill of Possibility,C,
Abrade,C,
"Etali, Primal Storm",R,
Cultivate,C,
Beast Within,U,
Rampant Growth,C,
Kodama's Reach,C,
Farseek,U,
Nature's Lore,C,
Heroic Intervention,R,
Birds of Paradise,R,
Three Visits,U,
Eternal Witness,U,
Arcane Signet,C,
Swiftfoot Boots,U,
Lightning Greaves,U,
Fellwar Stone,U,
Mind Stone,U,
Commander's Sphere,C,
Solemn Simulacrum,R,
Thought Vessel,U,
Skullclamp,U,
Mana Crypt,M,
Dimir Signet,U,
Rakdos Signet,C,
Izzet Signet,C,
Orzhov Signet,C,
Azorius Signet,U,
Talisman of Dominance,U,
Talisman of Creativity,U,
Assassin's Trophy,R,
Boros Charm,U,
Boros Signet,C,
Bojuka Bog,C,
Reliquary Tower,U,
"Boseiju, Who Endures",R,
Rogue's Passage,U,
Kessig Wolf Run,R,
"Otawara, Soaring City",R,
Mystic Sanctuary,C,
Cabal Coffers,M,
"Takenuma, Abandoned Mire",R,
Ancient Tomb,R,
"Urborg, Tomb of Yawgmoth",R,
Command Tower,C,
Overgrown Tomb,R,
Stomping Ground,R,
Hallowed Fountain,R,
Temple Garden,R,
Watery Grave,R,
Breeding Pool,R,
Godless Shrine,R,
Steam Vents,R,
Blood Crypt,R,
Sacred Foundry,R,
